id,name,category,manufacturer,total_owned,sell_price,rental_price,net_cost_per_invoice,purchase_price,photo_file_name,photo_file_type,photo_file_path,created_at
97,10' Truss ( 12 in. x 12 in. | 2 in. OD ),"Infrastructure,Trussing",Tomcat,,25,25,0,0,tomcat_10_truss.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/tomcat_10_truss.jpg,2018-06-18T15:22:05.000Z
98,40' Black Theatrical Curtain,Staging,,1,0,0,0,0,black_curtain.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/black_curtain.jpg,2018-06-20T17:50:44.000Z
99,8' Truss ( 12 in. x 12 in. | 2 in. OD ),"Trussing,Infrastructure",Tomcat,,25,0,0,0,tomcat_10_truss.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/tomcat_10_truss.jpg,2018-06-27T15:12:47.000Z
100,5' Black Pipe,Infrastructure,,,0,0,0,0,schedule_40_black_pipe.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/schedule_40_black_pipe.jpg,2018-06-27T15:33:27.000Z
101,7' x 9' Video Screen (10ft.),"Video,Screens",,,600,0,0,0,7_x_9_Video_screen.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/7_x_9_Video_screen.jpg,2018-06-27T15:39:37.000Z
102,PT-EZ570u,"Video,Projector",Panasonic,,400,0,0,0,panasonic_ez570u.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/panasonic_ez570u.jpg,2018-06-27T15:45:22.000Z
103,Technician,Labor,,,0,0,0,0,,,,2018-06-27T15:54:21.000Z
104,1' Stage Leg,Staging,Wenger,,0,0,0,0,1_stage_leg.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/1_stage_leg.jpg,2018-06-27T16:54:09.000Z
105,3' x 16' Black Stage Skirt,Staging,,,0,0,0,0,Black_Stage_skirt.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/Black_Stage_skirt.jpg,2018-06-27T16:56:37.000Z
106,24/7 Hazer,"Lighting,Special Effects",Martin,2,100,0,0,0,_hazer.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/_hazer.jpg,2018-06-27T17:11:12.000Z
107,Atomic 3000,Lighting,Martin,6,150,0,0,0,martin_atomic_3000.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/martin_atomic_3000.jpg,2018-06-27T17:16:12.000Z
108,L-16 Ground Support,Infrastructure,,,0,0,0,0,L_16.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/L_16.jpg,2018-06-27T17:33:23.000Z
109,LED Sixpar 300IP,"LED,Lighting",Elation,,100,0,0,0,elation_LED_sixpar_300ip.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/elation_LED_sixpar_300ip.jpg,2018-07-02T18:58:55.000Z
110,10' 12in x 12in 1 3/8in OD Truss,"Trussing,Infrastructure",Applied,,25,0,0,0,applied_10_light_duty_truss.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/applied_10_light_duty_truss.jpg,2018-07-05T19:29:35.000Z
111,6' Truss ( 12in x 12 in | 1 3/8in OD ),"Trussing,Infrastructure",Applied,,25,0,0,0,6_applied_light_duty_truss.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/6_applied_light_duty_truss.jpg,2018-07-05T19:49:08.000Z
112,Lodestar 1 Ton Chain Motor ( Single Phase ),"Chain Motors,Infrastructure",CM,,0,0,0,0,CM_Lodestar_1_ton_chain.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/CM_Lodestar_1_ton_chain.jpg,2018-07-05T19:55:53.000Z
113,24 channel Sensor Rack,"Lighting,Conventional",ETC,,100,100,0,0,etc_24_channel_sensor_rack.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/etc_24_channel_sensor_rack.jpg,2018-07-05T20:00:22.000Z
114,16 Channel Dimmer Console,"Lighting,Conventional",NSI / Leviton,,0,100,0,0,nsi_16_channel_dimmer_board.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/nsi_16_channel_dimmer_board.jpg,2018-07-05T20:04:03.000Z
115,Stage Stair Case,"Staging,Infrastructure",,,0,0,0,0,,,,2018-07-05T20:07:31.000Z
116,3 Phase Cam Tails,"Power,Cabling",,,0,0,0,0,3_Phase_Cam_Tails.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/3_Phase_Cam_Tails.jpg,2018-07-05T20:09:45.000Z
117,50' 3 Phase Camlok Cable,"Power,Cabling",,,0,0,0,0,50_3_Phase_Camlok_Cable.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/50_3_Phase_Camlok_Cable.jpg,2018-07-05T20:11:30.000Z
