id,content_id,item_id,created_at
299,13,55,2018-05-06 10:55am
300,2,55,2018-05-06 10:55am
301,32,62,2018-05-06 10:55am
302,22,62,2018-05-06 10:55am
303,31,62,2018-05-06 10:55am
304,13,62,2018-05-06 10:55am
305,5,,2018-05-06 10:55am
306,13,,2018-05-06 10:55am
307,19,,2018-05-06 10:56am
308,2,,2018-05-06 10:56am
309,22,59,2018-05-06 10:56am
310,13,59,2018-05-06 10:56am
311,2,59,2018-05-06 10:56am
312,5,41,2018-05-06 10:56am
313,13,41,2018-05-06 10:56am
314,19,41,2018-05-06 10:56am
315,2,41,2018-05-06 10:56am
316,22,37,2018-05-06 10:57am
317,2,37,2018-05-06 10:57am
318,2,47,2018-05-06 10:57am
319,2,,2018-05-06 10:57am
320,2,31,2018-05-06 10:57am
321,22,31,2018-05-06 10:57am
322,19,31,2018-05-06 10:57am
323,22,53,2018-05-06 10:57am
324,2,53,2018-05-06 10:57am
325,2,64,2018-05-06 10:57am
326,22,64,2018-05-06 10:57am
327,19,64,2018-05-06 10:57am
328,5,36,2018-05-06 10:57am
329,13,36,2018-05-06 10:57am
330,19,36,2018-05-06 10:57am
331,2,36,2018-05-06 10:57am
332,22,45,2018-05-06 10:57am
333,13,45,2018-05-06 10:58am
334,2,45,2018-05-06 10:58am
335,19,38,2018-05-06 10:58am
336,2,38,2018-05-06 10:58am
337,22,32,2018-05-06 10:59am
338,2,32,2018-05-06 10:59am
339,13,43,2018-05-06 10:59am
340,19,43,2018-05-06 10:59am
341,9,42,2018-05-06 10:59am
342,13,42,2018-05-06 10:59am
343,22,39,2018-05-06 10:59am
344,5,39,2018-05-06 10:59am
345,22,80,2018-05-06 10:59am
346,56,92,2018-05-06 10:59am
347,38,92,2018-05-06 10:59am
348,13,73,2018-05-06 10:59am
349,22,73,2018-05-06 10:59am
350,5,33,2018-05-06 11:00am
351,5,,2018-05-06 11:00am
352,19,,2018-05-06 11:00am
353,2,,2018-05-06 11:00am
354,22,52,2018-05-06 11:00am
355,2,52,2018-05-06 11:00am
356,5,34,2018-05-06 11:00am
357,13,34,2018-05-06 11:00am
358,19,34,2018-05-06 11:00am
359,2,34,2018-05-06 11:00am
360,22,44,2018-05-06 11:00am
361,13,44,2018-05-06 11:00am
362,2,44,2018-05-06 11:00am
363,2,5,2018-05-06 11:01am
364,5,6,2018-05-06 11:01am
365,19,6,2018-05-06 11:01am
366,2,6,2018-05-06 11:01am
367,22,56,2018-05-06 11:01am
368,2,56,2018-05-06 11:01am
369,22,7,2018-05-06 11:02am
370,13,7,2018-05-06 11:02am
371,22,57,2018-05-06 11:02am
372,13,57,2018-05-06 11:02am
373,2,57,2018-05-06 11:02am
374,2,9,2018-05-06 11:02am
375,5,10,2018-05-06 11:03am
376,19,10,2018-05-06 11:03am
377,2,10,2018-05-06 11:03am
378,22,77,2018-05-06 11:03am
379,2,77,2018-05-06 11:03am
380,5,11,2018-05-06 11:03am
381,13,11,2018-05-06 11:03am
382,19,11,2018-05-06 11:03am
383,2,11,2018-05-06 11:03am
384,22,58,2018-05-06 11:03am
385,13,58,2018-05-06 11:03am
386,2,58,2018-05-06 11:03am
387,19,35,2018-05-06 11:03am
388,2,35,2018-05-06 11:03am
389,15,162,2018-05-06 11:03am
390,15,187,2018-05-06 11:03am
391,8,187,2018-05-06 11:03am
392,4,13,2018-05-06 11:03am
393,15,14,2018-05-06 11:03am
394,4,14,2018-05-06 11:03am
395,15,110,2018-05-06 11:03am
396,19,110,2018-05-06 11:04am
397,72,110,2018-05-06 11:04am
398,79,115,2018-05-06 11:04am
399,78,115,2018-05-06 11:04am
400,90,115,2018-05-06 11:04am
401,15,175,2018-05-06 11:04am
402,144,175,2018-05-06 11:04am
403,19,175,2018-05-06 11:04am
404,143,175,2018-05-06 11:04am
405,179,198,2018-05-06 11:04am
406,82,116,2018-05-06 11:04am
407,81,116,2018-05-06 11:04am
408,84,117,2018-05-06 11:04am
409,177,197,2018-05-06 11:04am
410,176,197,2018-05-06 11:04am
411,175,197,2018-05-06 11:04am
412,174,197,2018-05-06 11:04am
413,183,206,2018-05-06 11:04am
414,182,206,2018-05-06 11:04am
415,38,207,2018-05-06 11:05am
416,181,207,2018-05-06 11:05am
417,182,203,2018-05-06 11:05am
418,38,204,2018-05-06 11:05am
419,182,204,2018-05-06 11:05am
420,184,205,2018-05-06 11:05am
421,38,205,2018-05-06 11:05am
422,182,205,2018-05-06 11:05am
423,19,134,2018-05-06 11:05am
424,108,141,2018-05-06 11:05am
425,106,141,2018-05-06 11:05am
426,105,141,2018-05-06 11:05am
427,108,155,2018-05-06 11:05am
428,105,,2018-05-06 11:05am
429,106,137,2018-05-06 11:05am
430,105,137,2018-05-06 11:05am
431,108,138,2018-05-06 11:05am
432,107,138,2018-05-06 11:05am
433,106,138,2018-05-06 11:05am
434,105,138,2018-05-06 11:06am
435,88,115,2018-05-06 12:23pm
436,38,42,2018-05-07 1:19am
