id,inventory_id,description,quantity,inc,discount_adj,kind,hours_for_labor_only,description_only,inc_discount_in_opct,created_at
120,63,,,0,,,,0,,2018-04-23T20:45:20.000Z
121,64,,,0,,,,0,,2018-04-23T20:47:44.000Z
122,65,Laborers,2,0,,,,1,,2018-04-23T20:56:56.000Z
123,52,8' Truss,1,0,,,,1,,2018-04-24T14:30:42.000Z
124,53,Base Plate,1,1,,,,1,,2018-04-24T14:31:22.000Z
125,66,,1,0,,,,1,,2018-04-24T14:31:48.000Z
126,67,,,0,,,,0,,2018-04-24T14:34:32.000Z
127,68,,4,0,,,,0,,2018-04-24T14:36:13.000Z
128,44,,4,0,$400.00,,,0,,2018-04-24T15:11:31.000Z
129,52,8' Truss,4,0,$200.00,,,1,,2018-04-24T15:12:58.000Z
130,53,Base Plates,4,1,,,,1,,2018-04-24T15:13:24.000Z
131,69,,,0,,,,0,,2018-04-24T21:10:59.000Z
132,48,,4,0,,,,0,,2018-04-25T15:34:02.000Z
133,70,for lighting ,2,0,,,,0,,2018-04-25T16:12:02.000Z
134,48,for general lighting ,2,0,,,,0,,2018-04-25T16:13:57.000Z
135,32,Source Four 19 degree leko's to illuminate Bride & Groom,2,0,-$50.00,,,1,,2018-04-25T16:14:33.000Z
136,47,to uplight trees (amber gel),6,0,-$110.00,,,0,,2018-04-25T16:17:39.000Z
137,71,to light shrubs on left & right side (amber),10,0,,,,0,,2018-04-25T16:18:43.000Z
138,72,,4,0,,,,0,,2018-04-25T16:26:55.000Z
139,73,,,0,,,,0,,2018-04-25T16:41:45.000Z
140,74,,,0,,,,0,,2018-04-25T16:42:49.000Z
141,60,,2,0,,,,0,,2018-04-25T19:10:40.000Z
142,75,,2,0,,,,0,,2018-04-25T19:35:52.000Z
143,5,(inc),,1,,,,0,,2018-04-30T13:58:36.000Z
144,47,PAR 56 Stage Lights,6,1,,,,1,,2018-04-30T13:59:17.000Z
145,32,,1,0,,,,0,,2018-04-30T14:01:55.000Z
146,48,,1,0,,,,0,,2018-04-30T14:02:54.000Z
147,31,,4,0,,,,0,,2018-04-30T14:04:39.000Z
148,43,,2,1,,,,0,,2018-04-30T14:05:14.000Z
