id,type,status,payment_status,payment_type,commission_paid,check_info,discount,deposit,tip,refund,commission_actual,event_id,created_at
468,On Premise Contract,,Paid In Full,Unknown,,,,,,,,593,2018-03-05 7:08pm
469,On Premise Contract,,Paid In Full,Check,,,,,,,,594,2018-03-05 7:11pm
470,On Premise Contract,,Paid In Full,Deduction from Commissions,,,,,,,,595,2018-03-05 7:14pm
471,On Premise Contract,,Paid In Full,Unknown,,,,,,,,596,2018-03-05 7:16pm
472,On Premise Contract,,Paid In Full,Check,,,,,,,,597,2018-03-05 7:50pm
473,On Premise Contract,,Paid In Full,Check,,,100.00,,,,,598,2018-03-05 7:54pm
474,On Premise Contract,,Paid In Full,Unknown,,,,,,,,599,2018-03-05 7:56pm
475,On Premise Contract,,Paid In Full,Unknown,,,,,,,,600,2018-03-05 7:59pm
476,On Premise Contract,,Paid In Full,Check,,,,,,,,601,2018-03-05 8:02pm
477,On Premise Contract,,Paid In Full,Cash,,,,,,,,602,2018-03-05 8:48pm
478,On Premise Contract,,Paid In Full,Unknown,,,,,,,,603,2018-03-05 9:08pm
479,On Premise Contract,,Paid In Full,Check,,,,,,,,604,2018-03-05 10:16pm
480,On Premise Contract,,Paid In Full,Check,,,,,,,,605,2018-03-06 2:39pm
481,On Premise Contract,,Paid In Full,Check,,,,,,,,606,2018-03-06 2:44pm
482,On Premise Contract,,Paid In Full,Check,,,,,,,,607,2018-03-06 2:55pm
483,On Premise Contract,,Paid In Full,Cash,,,,,,,,608,2018-03-06 2:57pm
484,On Premise Contract,,Paid In Full,Check,,,,,,,,609,2018-03-06 2:59pm
485,On Premise Contract,,Paid In Full,Check,,,,,,,,610,2018-03-06 3:01pm
486,On Premise Contract,,Paid In Full,Unknown,,,,,,,,611,2018-03-06 3:03pm
487,On Premise Contract,,Paid In Full,Check,,,,,,,,612,2018-03-06 3:05pm
488,On Premise Contract,,Paid In Full,Unknown,,,,,,,,613,2018-03-06 3:08pm
489,On Premise Contract,,Paid In Full,Check,,,,,,,,614,2018-03-06 5:07pm
490,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,615,2018-03-06 5:53pm
491,On Premise Contract,,Paid In Full,Cash,,,,,,,,616,2018-03-06 5:55pm
492,On Premise Contract,,Paid In Full,Check | Commission Deduction,,,800.00,,,,-800.00,617,2018-03-06 5:59pm
493,On Premise Contract,,Paid In Full,Cash,,,,,,,,618,2018-03-06 8:17pm
494,On Premise Contract,,Paid In Full,Check,,,,,,,450.00,619,2018-03-06 8:21pm
495,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,620,2018-03-06 8:24pm
496,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,621,2018-03-06 8:27pm
497,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,622,2018-03-06 8:29pm
498,On Premise Contract,,Paid In Full,Check,,,,,,,,623,2018-03-06 8:30pm
499,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,624,2018-03-06 8:32pm
500,On Premise Contract,,Paid In Full,Check,,,,,,,,625,2018-03-06 8:34pm
501,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,626,2018-03-06 8:36pm
502,On Premise Contract,,Paid In Full,Check,,,,,,,,627,2018-03-06 8:37pm
503,On Premise Contract,,Paid In Full,Check,,,,,,,900.00,628,2018-03-06 8:39pm
504,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,629,2018-03-06 8:42pm
505,On Premise Contract,,Paid In Full,Check,,,,,,,,630,2018-03-06 8:45pm
506,On Premise Contract,,Paid In Full,Check,,,,,,,550.00,631,2018-03-06 8:51pm
507,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,632,2018-03-06 9:02pm
508,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,800.00,633,2018-03-06 9:04pm
509,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,634,2018-03-06 9:09pm
510,On Premise Contract,,Paid In Full,Check,,,,,,,,635,2018-03-06 9:11pm
511,On Premise Contract,,Paid In Full,Check,,,,,,,,636,2018-03-06 9:14pm
512,On Premise Contract,,Paid In Full,Check,,,,,,,,637,2018-03-06 9:16pm
513,On Premise Contract,,Paid In Full,Check,,,,,,,450.00,638,2018-03-06 9:18pm
514,On Premise Contract,,Paid In Full,Deduction from Commissions,,,,,,,,639,2018-03-06 9:41pm
515,On Premise Contract,,Paid In Full,Check,,,,,,,950.00,640,2018-03-06 9:43pm
516,On Premise Contract,,Paid In Full,Deduction from Commissions,,,,,,,,641,2018-03-06 9:46pm
517,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,642,2018-03-06 9:48pm
518,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,643,2018-03-06 9:50pm
519,On Premise Contract,,Paid In Full,Check,,,,,,,100.00,644,2018-03-06 9:51pm
520,On Premise Contract,,Paid In Full,Check,,,,,,,,645,2018-03-08 2:43pm
521,On Premise Contract,,Paid In Full,Unknown,,,100.00,,,,,646,2018-03-08 2:46pm
522,On Premise Contract,,Paid In Full,Check,,,,,,,,647,2018-03-08 2:49pm
523,On Premise Contract,,Paid In Full,Unknown,,,,,,,,648,2018-03-08 2:57pm
524,On Premise Contract,,Paid In Full,Check,,,,,,,,649,2018-03-08 3:42pm
525,On Premise Contract,,Paid In Full,Check,,,,,,,,650,2018-03-08 3:44pm
526,On Premise Contract,,Paid In Full,Check,,,,,,,,651,2018-03-08 3:46pm
527,On Premise Contract,,Paid In Full,Unknown,,,,,,,,652,2018-03-08 3:48pm
528,On Premise Contract,,Paid In Full,Check,,,,,,,,653,2018-03-08 3:51pm
529,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,654,2018-03-08 3:56pm
530,On Premise Contract,,Paid In Full,Check,,,,,,,,655,2018-03-08 4:02pm
531,On Premise Contract,,Paid In Full,Unknown,,,,,,,,656,2018-03-08 4:10pm
